,Nombre,Enlace
0,CrazyComputer,http://codeforces.com/problemset/problem/716/A
1,Haiku,http://codeforces.com/problemset/problem/78/A
2,LLPS,http://codeforces.com/problemset/problem/202/A
3,Wizards'Duel,http://codeforces.com/problemset/problem/591/A
4,GeorgeandAccommodation,http://codeforces.com/problemset/problem/467/A
5,SoldierandBananas,http://codeforces.com/problemset/problem/546/A
6,GukiZandContest,http://codeforces.com/problemset/problem/551/A
7,WastedTime,http://codeforces.com/problemset/problem/127/A
8,CombinationLock,http://codeforces.com/problemset/problem/540/A
9,VitalyandNight,http://codeforces.com/problemset/problem/595/A
10,ShaassandOskols,http://codeforces.com/problemset/problem/294/A
11,SerejaandMugs,http://codeforces.com/problemset/problem/426/A
12,LinetoCashier,http://codeforces.com/problemset/problem/408/A
13,MashmokhandLights,http://codeforces.com/problemset/problem/415/A
14,Squats,http://codeforces.com/problemset/problem/424/A
15,ToyArmy,http://codeforces.com/problemset/problem/84/A
16,Soroban,http://codeforces.com/problemset/problem/363/A
17,KyoyaandPhotobooks,http://codeforces.com/problemset/problem/554/A
18,Rewards,http://codeforces.com/problemset/problem/448/A
19,ColorfulStones(SimplifiedEdition),http://codeforces.com/problemset/problem/265/A
20,BuggySorting,http://codeforces.com/problemset/problem/246/A
21,Greg'sWorkout,http://codeforces.com/problemset/problem/255/A
22,PoliceRecruits,http://codeforces.com/problemset/problem/427/A
23,BlackSquare,http://codeforces.com/problemset/problem/431/A
24,CircleLine,http://codeforces.com/problemset/problem/278/A
25,PlayingwithDice,http://codeforces.com/problemset/problem/378/A
26,RomaandLuckyNumbers,http://codeforces.com/problemset/problem/262/A
27,Games,http://codeforces.com/problemset/problem/268/A
28,BearandFindingCriminals,http://codeforces.com/problemset/problem/680/B
29,NicholasandPermutation,http://codeforces.com/problemset/problem/676/A
30,UncowedForces,http://codeforces.com/problemset/problem/604/A
31,ChoosingLaptop,http://codeforces.com/problemset/problem/106/B
32,TernaryLogic,http://codeforces.com/problemset/problem/136/B
33,Lever,http://codeforces.com/problemset/problem/376/A
34,WetSharkandOddandEven,http://codeforces.com/problemset/problem/621/A
35,AandBandChess,http://codeforces.com/problemset/problem/519/A
36,Arrays,http://codeforces.com/problemset/problem/572/A
37,SaitamaDestroysHotel,http://codeforces.com/problemset/problem/608/A
38,ShellGame,http://codeforces.com/problemset/problem/35/A
39,GeorgeandSleep,http://codeforces.com/problemset/problem/387/A
40,VanyaandTable,http://codeforces.com/problemset/problem/552/A
41,DrazilandDate,http://codeforces.com/problemset/problem/515/A
42,SinkingShip,http://codeforces.com/problemset/problem/63/A
43,InitialBet,http://codeforces.com/problemset/problem/478/A
44,TavasandNafas,http://codeforces.com/problemset/problem/535/A
45,CalculatingFunction,http://codeforces.com/problemset/problem/486/A
46,Exams,http://codeforces.com/problemset/problem/194/A
47,Postcardsandphotos,http://codeforces.com/problemset/problem/137/A
48,MultiplicationTable,http://codeforces.com/problemset/problem/577/A
49,PalindromicTimes,http://codeforces.com/problemset/problem/108/A
50,HelpVasilisatheWise2,http://codeforces.com/problemset/problem/143/A
51,CurrencySysteminGeraldion,http://codeforces.com/problemset/problem/560/A
52,GameOutcome,http://codeforces.com/problemset/problem/157/A
53,GroupofStudents,http://codeforces.com/problemset/problem/357/A
54,Interview,http://codeforces.com/problemset/problem/631/A
55,PetyaandCountryside,http://codeforces.com/problemset/problem/66/B
56,CaseoftheZerosandOnes,http://codeforces.com/problemset/problem/556/A
57,WormsEvolution,http://codeforces.com/problemset/problem/31/A
58,CielandDancing,http://codeforces.com/problemset/problem/322/A
59,Table,http://codeforces.com/problemset/problem/359/A
60,SerejaandCoatRack,http://codeforces.com/problemset/problem/368/A
61,ToyCars,http://codeforces.com/problemset/problem/545/A
62,Joysticks,http://codeforces.com/problemset/problem/651/A
63,LuckySubstring,http://codeforces.com/problemset/problem/122/B
64,LuckyTicket,http://codeforces.com/problemset/problem/146/A
65,KefaandFirstSteps,http://codeforces.com/problemset/problem/580/A
66,Squares,http://codeforces.com/problemset/problem/263/B
67,ValeraandPlates,http://codeforces.com/problemset/problem/369/A
68,Trace,http://codeforces.com/problemset/problem/157/B
69,PashaandStick,http://codeforces.com/problemset/problem/610/A
70,QueueonBusStop,http://codeforces.com/problemset/problem/435/A
71,LuckyString,http://codeforces.com/problemset/problem/110/B
72,AmrandMusic,http://codeforces.com/problemset/problem/507/A
73,EugenyandArray,http://codeforces.com/problemset/problem/302/A
74,PrisonTransfer,http://codeforces.com/problemset/problem/427/B
75,BearandRaspberry,http://codeforces.com/problemset/problem/385/A
76,Buttons,http://codeforces.com/problemset/problem/268/B
77,VasyaandDigitalRoot,http://codeforces.com/problemset/problem/355/A
78,LittleElephantandMagicSquare,http://codeforces.com/problemset/problem/259/B
79,ValeraandX,http://codeforces.com/problemset/problem/404/A
80,GameWithSticks,http://codeforces.com/problemset/problem/451/A
81,"Devu,theSingerandChuru,theJoker",http://codeforces.com/problemset/problem/439/A
82,RoadsideTrees(SimplifiedEdition),http://codeforces.com/problemset/problem/265/B
83,ValeraandAntiqueItems,http://codeforces.com/problemset/problem/441/A
84,Lecture,http://codeforces.com/problemset/problem/499/B
85,DominoEffect,http://codeforces.com/problemset/problem/405/B
86,SerejaandStairs,http://codeforces.com/problemset/problem/381/B
87,EugenyandPlayList,http://codeforces.com/problemset/problem/302/B
88,K-specialTables,http://codeforces.com/problemset/problem/625/C
89,FilyaandHomework,http://codeforces.com/problemset/problem/714/B
90,WalkingintheRain,http://codeforces.com/problemset/problem/192/B
91,Rebranding,http://codeforces.com/problemset/problem/591/B
92,PolothePenguinandStrings,http://codeforces.com/problemset/problem/288/A
93,BearandElections,http://codeforces.com/problemset/problem/574/A
94,OhanaCleansUp,http://codeforces.com/problemset/problem/554/B
95,LittleElephantandNumbers,http://codeforces.com/problemset/problem/221/B
96,TilingwithHexagons,http://codeforces.com/problemset/problem/216/A
97,"Rook,BishopandKing",http://codeforces.com/problemset/problem/370/A
98,SnowFootprints,http://codeforces.com/problemset/problem/298/A
99,AlyonaandMex,http://codeforces.com/problemset/problem/682/B
100,AfterTraining,http://codeforces.com/problemset/problem/195/B
101,Robot'sTask,http://codeforces.com/problemset/problem/583/B
102,WilburandSwimmingPool,http://codeforces.com/problemset/problem/596/A
103,Permutation,http://codeforces.com/problemset/problem/359/B
104,WaroftheCorporations,http://codeforces.com/problemset/problem/625/B
105,CanvasFrames,http://codeforces.com/problemset/problem/127/B
106,AlyonaandNumbers,http://codeforces.com/problemset/problem/682/A
107,VikaandSquares,http://codeforces.com/problemset/problem/610/B
108,VasyaandFootball,http://codeforces.com/problemset/problem/493/A
109,Whosesentenceisit?,http://codeforces.com/problemset/problem/312/A
110,VanyaandBooks,http://codeforces.com/problemset/problem/552/B
111,Sockets,http://codeforces.com/problemset/problem/257/A
112,TheWall,http://codeforces.com/problemset/problem/340/A
113,DigitalCounter,http://codeforces.com/problemset/problem/495/A
114,BearandStrings,http://codeforces.com/problemset/problem/385/B
115,BearandPoker,http://codeforces.com/problemset/problem/573/A
116,KseniaandPanScales,http://codeforces.com/problemset/problem/382/A
117,PhoneNumbers,http://codeforces.com/problemset/problem/151/B
118,Inventory,http://codeforces.com/problemset/problem/569/B
119,VitaliyandPie,http://codeforces.com/problemset/problem/525/A
120,StudentsandShoelaces,http://codeforces.com/problemset/problem/129/B
121,WilburandArray,http://codeforces.com/problemset/problem/596/B
122,StringsofPower,http://codeforces.com/problemset/problem/318/B
123,MishaandChangingHandles,http://codeforces.com/problemset/problem/501/B
124,LevkoandPermutation,http://codeforces.com/problemset/problem/361/B
125,Bar,http://codeforces.com/problemset/problem/56/A
126,BeautifulPaintings,http://codeforces.com/problemset/problem/651/B
127,Combination,http://codeforces.com/problemset/problem/155/B
128,MUHandSticks,http://codeforces.com/problemset/problem/471/A
129,PrintCheck,http://codeforces.com/problemset/problem/631/B
130,ArtUnion,http://codeforces.com/problemset/problem/416/B
131,LalaLandandAppleTrees,http://codeforces.com/problemset/problem/558/A
132,LuckyConversion,http://codeforces.com/problemset/problem/145/A
133,TwoBases,http://codeforces.com/problemset/problem/602/A
134,TheMonsterandtheSquirrel,http://codeforces.com/problemset/problem/592/B
135,TheChildandHomework,http://codeforces.com/problemset/problem/437/A
136,TavasandSaDDas,http://codeforces.com/problemset/problem/535/B
137,DimaandTo-doList,http://codeforces.com/problemset/problem/366/B
138,ValuableResources,http://codeforces.com/problemset/problem/485/B
139,FoxandNumberGame,http://codeforces.com/problemset/problem/389/A
140,Unary,http://codeforces.com/problemset/problem/133/B
141,EquidistantString,http://codeforces.com/problemset/problem/545/B
142,Garland,http://codeforces.com/problemset/problem/408/B
143,Coins,http://codeforces.com/problemset/problem/58/B
144,Chewba?caandNumber,http://codeforces.com/problemset/problem/514/A
145,ChatOnline,http://codeforces.com/problemset/problem/469/B
146,Elections,http://codeforces.com/problemset/problem/570/A
147,GeorgeandRound,http://codeforces.com/problemset/problem/387/B
148,ApplemanandToastman,http://codeforces.com/problemset/problem/461/A
149,PetyaandStaircases,http://codeforces.com/problemset/problem/362/B
150,GoodNumber,http://codeforces.com/problemset/problem/365/A
151,AandBandCompilationErrors,http://codeforces.com/problemset/problem/519/B
152,SimpleGame,http://codeforces.com/problemset/problem/570/B
153,FedorandNewGame,http://codeforces.com/problemset/problem/467/B
154,DrazilandFactorial,http://codeforces.com/problemset/problem/515/C
155,Cifera,http://codeforces.com/problemset/problem/114/A
156,AandBandTeamTraining,http://codeforces.com/problemset/problem/519/C
157,FootballKit,http://codeforces.com/problemset/problem/432/B
158,"Devu,theDumbGuy",http://codeforces.com/problemset/problem/439/B
159,Antonandcurrencyyouallknow,http://codeforces.com/problemset/problem/508/B
160,RandomTeams,http://codeforces.com/problemset/problem/478/B
161,BearandThreeMusketeers,http://codeforces.com/problemset/problem/574/B
162,ChrisandMagicSquare,http://codeforces.com/problemset/problem/711/B
163,RestoringPainting,http://codeforces.com/problemset/problem/675/B
164,PointonSpiral,http://codeforces.com/problemset/problem/279/A
165,VasyaandtheBus,http://codeforces.com/problemset/problem/190/A
166,GuestFromthePast,http://codeforces.com/problemset/problem/625/A
167,Photographer,http://codeforces.com/problemset/problem/203/C
168,Taxes,http://codeforces.com/problemset/problem/735/D
169,DimaandLisa,http://codeforces.com/problemset/problem/584/D
170,CowsandPrimitiveRoots,http://codeforces.com/problemset/problem/284/A
171,MUHandImportantThings,http://codeforces.com/problemset/problem/471/B
172,PyramidofGlasses,http://codeforces.com/problemset/problem/676/B
173,ApproximatingaConstantRange,http://codeforces.com/problemset/problem/602/B
174,PawnChess,http://codeforces.com/problemset/problem/592/A
175,Non-squareEquation,http://codeforces.com/problemset/problem/233/B
176,VasyaandString,http://codeforces.com/problemset/problem/676/C
177,DZYLovesChemistry,http://codeforces.com/problemset/problem/445/B
178,ValeraandContest,http://codeforces.com/problemset/problem/369/B
179,Guessanumber!,http://codeforces.com/problemset/problem/416/A
180,BurningMidnightOil,http://codeforces.com/problemset/problem/165/B
181,PythagoreanTriples,http://codeforces.com/problemset/problem/707/C
182,Replacement,http://codeforces.com/problemset/problem/570/C
183,Woodcutters,http://codeforces.com/problemset/problem/545/C
184,AmrandTheLargeArray,http://codeforces.com/problemset/problem/558/B
185,TheChildandSet,http://codeforces.com/problemset/problem/437/B
186,MoreCowbell,http://codeforces.com/problemset/problem/604/B
187,EconomyGame,http://codeforces.com/problemset/problem/681/B
188,SoldierandCards,http://codeforces.com/problemset/problem/546/C
189,PashaMaximizes,http://codeforces.com/problemset/problem/435/B
190,VasyaandWrestling,http://codeforces.com/problemset/problem/493/B
191,ORinMatrix,http://codeforces.com/problemset/problem/486/B
192,KefaandCompany,http://codeforces.com/problemset/problem/580/B
193,SoldierandBadges,http://codeforces.com/problemset/problem/546/B
194,HanSoloandLazerGun,http://codeforces.com/problemset/problem/514/B
195,KefaandPark,http://codeforces.com/problemset/problem/580/C
196,AmrandPins,http://codeforces.com/problemset/problem/507/B
197,TwoSubstrings,http://codeforces.com/problemset/problem/550/A
198,Queue,http://codeforces.com/problemset/problem/545/D
199,ModuloSum,http://codeforces.com/problemset/problem/577/B
